mat1 je5 | what / what kind of
mat1 je5 meng2 | what name? how is it called?
sing3 | be surnamed / surnamed
nei5 gwai3 sing3 aa3? | what is your surname?
m4 | not
hai6 m4 hai6 | yes/no question (to be)
Hoeng1 Gong2 jan4 | Hong Kong citizen
ne1 | interrogative particle related to previous question
nei5 ne1? | and you? what about you?
jau4 | from (a starting point)
gaa3 | interrogative particle - something happen in the past
ge3 | modal particle to give explaination
Jing1 Gwok3 | UK
Jing1 Gwok3 jan4 | british
Waa4 jeoi6 | a person of Chinese descent
sik1 | to know how to do (ability to do)
Zung1 Man4 | Chinese language
siu2 siu2 | a few / a little
ze1 | particle - just/only
hai6 ne1 | by the way
gei2 dim2 zung1 | what is the time
dim2 zung1 | o'clock
m4 hou2 ji3 si1 | excuxe me
jau5 si6 | to be occupied with a matter / have something to do
jiu3 | have to / need to
zau2 | to leave
baai1 baai3 | bye-bye
zoi3 gin3 | see you again  / goodbye
nei5 gwai3 sing3 aa3? | What is your surname?
mat1 je5 Amy | My name is Amy
mat1 je5 / me1 je5 / me1 / mat1 | four type of "what" 
nei5 m4 hai6 ngo5 ge3 lou5 si1 | you are not my teacher
ngo5 m4 sik1 Gwong2 Dung1 Waa2 | I don't know Cantonese
keoi5 m4 soeng2 heoi3 go2 dou6 | He doesn't want to go there
Hoeng1 Gong2 m4 hou2 | Hong Kong is not good
nei5 hai6 m6 hai6 Hoeng1 Gong2 jan4 aa3? | Are you a Hong Kong citizen?
nei5 hai6 m4 hai6 ou5 si1 aa3? | Are you a teacher?
keoi5 sik1 m4 sik1 Gwong2 Dung1 Waa2 aa3 ? | Does he knows how to speak Cantonese?
nei5 soeng2 m4 soeng2 heoi3 Zung1 Gwok3 aa3 ? | Do you want to go to China?
Hoeng1 Gong2 hou2 m4 hou2 aa3? | Hong Kong is good?
nei5 sik1 m4 sik1 Zung1 Man4 aa3? | can you speak Cantonese?
(ngo5) sik1 siu2 siu2 ze1 | I only know a little
nei5 ge3 lou5 si1 sik1 m4 sik1 Jing1 Man4 aa3? | Your teacher knows English?
nei5 ge3 pang4 jau5 sik1 m4 sik1 zaa1 ce1 aa3? | Your fried know how to drive a car?
nei5 baa4 baa1 sik1 m4 sik1 jau4 seoi2 aa3? | Your father know how to swim?
nei5 maa4 maa1 sik1 m4 sik1 daa2 maa4 zoek3 aa3? | Your mother knows how to play mahjong?
nei5 ge3 lou5 si1 sik1 Jing1 Man4 | Your teacher knows English
nei5 ge3 pang4 jau5 sik1 zaa1 ce1 | Your fried know how to drive a car
nei5 baa4 baa1 sik1 jau4 seoi2 | Your father know how to swim
nei5 maa4 maa1 sik1 daa2 maa4 zoek3 | Your mother knows how to play mahjong
nei5 jau4 bin1 dou6 lei4 gaa3? | Where are you from?
ngo5 jau4 Jing1 Gwok3 lei4 ge3 | I come from the UK
ngo5 jau4 Gaat3 Gwok3 lei4 ge3 | I come from France
ngo5 jau4 Jat6 Bun2 lei4 ge3 | I come from Japan
ngo5 jau4 Ji3 Daai6 Lei6 lei4 ge3 | I come from Italy
ngo5 hai6 Mei5 Gwok3 jan4, nei5 ne1? | I am american, and you?
ngo5 giu3 Amy, nei5 ne1? | My name is Amy, and you?
Amy zyu6 hai2 suk1 se3, Peter ne1 ? | Amy lives in a hostel, how about Peter?
nei5 sik1 Jat6 Man4. Jing1 Man4 ne1? | You know Japanese, how about English?
ji4 gaa1 (hai6) gei2 dim2 zung1 aa3? | What time is it now?
ji4 gaa1 (hai6) gau2 dim2 zung1 | It is nine o'clock now
ji4 gaa1 (hai6) ja1 dim2 zung1 | It is one o'clock now
